accession,filename,url,assembly,file_format,file_format_type,output_type,output_category,dataset
ENCFF058SJS,ENCFF058SJS.tsv,https://www.encodeproject.org/files/ENCFF058SJS/@@download/ENCFF058SJS.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR914ALB/
ENCFF952TUH,ENCFF952TUH.tsv,https://www.encodeproject.org/files/ENCFF952TUH/@@download/ENCFF952TUH.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR771NRY/
ENCFF329HLO,ENCFF329HLO.tsv,https://www.encodeproject.org/files/ENCFF329HLO/@@download/ENCFF329HLO.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR771DEX/
ENCFF156XZW,ENCFF156XZW.tsv,https://www.encodeproject.org/files/ENCFF156XZW/@@download/ENCFF156XZW.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR369RVN/
ENCFF646YNM,ENCFF646YNM.tsv,https://www.encodeproject.org/files/ENCFF646YNM/@@download/ENCFF646YNM.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR369RVN/
ENCFF115XWZ,ENCFF115XWZ.tsv,https://www.encodeproject.org/files/ENCFF115XWZ/@@download/ENCFF115XWZ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR797BPP/
ENCFF771NMO,ENCFF771NMO.tsv,https://www.encodeproject.org/files/ENCFF771NMO/@@download/ENCFF771NMO.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR568YRP/
ENCFF213EFU,ENCFF213EFU.tsv,https://www.encodeproject.org/files/ENCFF213EFU/@@download/ENCFF213EFU.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUJ/
ENCFF098XKH,ENCFF098XKH.tsv,https://www.encodeproject.org/files/ENCFF098XKH/@@download/ENCFF098XKH.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUL/
ENCFF620BVA,ENCFF620BVA.tsv,https://www.encodeproject.org/files/ENCFF620BVA/@@download/ENCFF620BVA.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPW/
ENCFF223XWE,ENCFF223XWE.tsv,https://www.encodeproject.org/files/ENCFF223XWE/@@download/ENCFF223XWE.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR450EXF/
ENCFF175JHR,ENCFF175JHR.tsv,https://www.encodeproject.org/files/ENCFF175JHR/@@download/ENCFF175JHR.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPW/
